LCSC Part Number,Manufacturer,Package,Description,Order Qty.,Unit Price($),Component Type,Component Branch,Capacitance,Resistance,Voltage,Tolerance,Inductance,Current/Power
C913904,Samsung Electro-Mechanics,0603,50V 2.2uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,20,0.0209,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,2.2u,,50V,±10%,,
C2691448,XFCN,"Plugin,P=2.54mm","250V 3A Direct Insert Policy 2.5mm 4P 6mm -40℃~+105℃ 3mm 2.54mm Single Row Black 1x4P Plugin,P=2.54mm Pin Headers ROHS",20,0.0202,,,,,,,,
C78465,Vishay Intertech,OPLGA-4(1.3x2),"I2C Red,Green,Blue,White OPLGA-4(1.3x2) Ambient Light Sensors ROHS",10,0.8622,,,,,,,,
C25092,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistors 50V ±1% ±100ppm/℃ 22Ω 0402 Chip Resistor - Surface Mount ROHS,100,0.0005,Resistor,Chip Resistor - Surface Mount,,22Ohm,50V,±1%,,
C17168,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistors 50V ±800ppm/℃ ±1% 0Ω 0402 Chip Resistor - Surface Mount ROHS,100,0.0005,Resistor,Chip Resistor - Surface Mount,,0Ohm,50V,±1%,,
C142526,Vishay Intertech,SMD-8P,SMD-8P Ambient Light Sensors ROHS,4,1.102,,,,,,,,
C88842,Rubycon,"Plugin,D6.3xL11mm","330uF 16V 220mΩ@100kHz ±20% 400mA@100kHz Plugin,D6.3xL11mm Aluminum Electrolytic Capacitors - Leaded ROHS",10,0.0635,Capacitor,Aluminum Electrolytic Capacitor - Leaded,330u,,16V,±20%,,
C908438,GOODWORK,SOD-123FL,1.7V@1A 35ns Independent Type 1A 600V SOD-123FL Fast Recovery / High Efficiency Diodes ROHS,50,0.0076,Diode,Fast Recovery / High Efficiency Diode,,,1.7V,,,1A
C412436,MDD(Microdiode Semiconductor),SMA,1.3V@1A 500ns Independent Type 1A 1kV SMA Fast Recovery / High Efficiency Diodes ROHS,50,0.0089,Diode,Fast Recovery / High Efficiency Diode,,,1.3V,,,1A
C908655,GOODWORK,SMA(DO-214AC),1.7V@1A 35ns Independent Type 1A 600V SMA(DO-214AC) Fast Recovery / High Efficiency Diodes ROHS,50,0.0101,Diode,Fast Recovery / High Efficiency Diode,,,1.7V,,,1A
C497813,YJYCOIN,"SMD,4x4x3mm","200mA 470uH ±20% SMD,4x4x3mm Power Inductors ROHS",10,0.0525,Inductor,Power Inductor,,,,±20%,200m,200m
C17544,UNI-ROYAL(Uniroyal Elec),0805,125mW Thick Film Resistors 150V ±1% ±200ppm/℃ 20Ω 0805 Chip Resistor - Surface Mount ROHS,100,0.0016,Resistor,Chip Resistor - Surface Mount,,20Ohm,150V,±1%,,
C17931,UNI-ROYAL(Uniroyal Elec),1206,250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 360kΩ 1206 Chip Resistor - Surface Mount ROHS,100,0.0031,Resistor,Chip Resistor - Surface Mount,,360kOhm,200V,±1%,,
C18359,UNI-ROYAL(Uniroyal Elec),0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 3.6kΩ 0805 Chip Resistor - Surface Mount ROHS,100,0.0018,Resistor,Chip Resistor - Surface Mount,,3.6kOhm,150V,±1%,,
C16257,UNI-ROYAL(Uniroyal Elec),0805,125mW Thick Film Resistors 150V ±1% ±200ppm/℃ 3.3Ω 0805 Chip Resistor - Surface Mount ROHS,100,0.0024,Resistor,Chip Resistor - Surface Mount,,3.3Ohm,150V,±1%,,
C17414,UNI-ROYAL(Uniroyal Elec),0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 10kΩ 0805 Chip Resistor - Surface Mount ROHS,100,0.0017,Resistor,Chip Resistor - Surface Mount,,10kOhm,150V,±1%,,
C18002,UNI-ROYAL(Uniroyal Elec),1206,250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 200Ω 1206 Chip Resistor - Surface Mount ROHS,100,0.0029,Resistor,Chip Resistor - Surface Mount,,200Ohm,200V,±1%,,
C17616,UNI-ROYAL(Uniroyal Elec),0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 300kΩ 0805 Chip Resistor - Surface Mount ROHS,100,0.0018,Resistor,Chip Resistor - Surface Mount,,300kOhm,150V,±1%,,
